matching.btree_spp,link_sp_name,cz,BL_latin,c_name,sister_split
Melanerpes striatus,hispaniolan-woodpecker-melanerpes-striatus,ok,Melanerpes striatus,Hispaniolan Woodpecker,
Melanerpes superciliaris,west-indian-woodpecker-melanerpes-superciliaris,ok,Melanerpes superciliaris,West Indian Woodpecker,
Melanerpes uropygialis,gila-woodpecker-melanerpes-uropygialis,ok,Melanerpes uropygialis,Gila Woodpecker,
Melanitta fusca,siberian-scoter-melanitta-stejnegeri,ok,Melanitta stejnegeri,Siberian Scoter,
Melanitta fusca,white-winged-scoter-melanitta-deglandi,ok,Melanitta deglandi,White-winged Scoter,
Melanitta fusca,velvet-scoter-melanitta-fusca,ok,Melanitta fusca,Velvet Scoter,
Melanitta nigra,black-scoter-melanitta-americana,ok,Melanitta americana,Black Scoter,
Melanitta nigra,common-scoter-melanitta-nigra,ok,Melanitta nigra,Common Scoter,
Melanitta perspicillata,surf-scoter-melanitta-perspicillata,ok,Melanitta perspicillata,Surf Scoter,
Melanocharis striativentris,streaked-berrypecker-melanocharis-striativentris,ok,Melanocharis striativentris,Streaked Berrypecker,
Melanochlora sultanea,sultan-tit-melanochlora-sultanea,ok,Melanochlora sultanea,Sultan Tit,
Melanocorypha calandra,calandra-lark-melanocorypha-calandra,ok,Melanocorypha calandra,Calandra Lark,
Melanodera melanodera,white-bridled-finch-melanodera-melanodera,ok,Melanodera melanodera,White-bridled Finch,
Melanodera xanthogramma,yellow-bridled-finch-melanodera-xanthogramma,ok,Melanodera xanthogramma,Yellow-bridled Finch,
Melanodryas cucullata,hooded-robin-melanodryas-cucullata,ok,Melanodryas cucullata,Hooded Robin,
Melanopareia elegans,elegant-crescentchest-melanopareia-elegans,ok,Melanopareia elegans,Elegant Crescentchest,
Melanopareia maximiliani,olive-crowned-crescentchest-melanopareia-maximiliani,ok,Melanopareia maximiliani,Olive-crowned Crescentchest,
Melanopareia torquata,collared-crescentchest-melanopareia-torquata,ok,Melanopareia torquata,Collared Crescentchest,
Melanoperdix niger,black-partridge-melanoperdix-niger,ok,Melanoperdix niger,Black Partridge,
Melanoptila glabrirostris,black-catbird-melanoptila-glabrirostris,ok,Melanoptila glabrirostris,Black Catbird,
Melanospiza richardsoni,st-lucia-black-finch-melanospiza-richardsoni,ok,Melanospiza richardsoni,St Lucia Black Finch,
Melanotis caerulescens,blue-mockingbird-melanotis-caerulescens,ok,Melanotis caerulescens,Blue Mockingbird,
Melanotis hypoleucus,blue-and-white-mockingbird-melanotis-hypoleucus,ok,Melanotis hypoleucus,Blue-and-white Mockingbird,
Meleagris gallopavo,wild-turkey-meleagris-gallopavo,ok,Meleagris gallopavo,Wild Turkey,
Meleagris ocellata,ocellated-turkey-meleagris-ocellata,ok,Meleagris ocellata,Ocellated Turkey,
Melichneutes robustus,lyre-tailed-honeyguide-melichneutes-robustus,ok,Melichneutes robustus,Lyre-tailed Honeyguide,
Melidectes belfordi,belfords-honeyeater-melidectes-belfordi,ok,Melidectes belfordi,Belford's Honeyeater,
